S.No,District,Headquarters,Revenue Divisions,Mandals,Population,Area,Density
1,Anantapur,Anantapur,5,63,4083315,19130,213
2,Chittoor,Chittoor,3,66,4170468,15152,275
3,East Godavari,Kakinada,7,64,5151549,10807,477
4,Guntur,Guntur,4,57,4889230,11391,429
5,YSR Kadapa district,Kadapa,3,50,2884524,15359,188
6,Krishna,Machilipatnam,4,50,4529009,8727,519
7,Kurnool,Kurnool,3,54,4046601,17658,229
8,Nellore,Nellore,5,56,2966082,13076,227
9,Prakasam,Ongole,3,56,3392764,17626,193
10,Srikakulam,Srikakulam,3,37,2699471,5837,462
11,Visakhapatnam,Visakhapatnam,4,46,4288113,11161,340
12,Vizianagaram,Vizianagaram,2,34,2342868,6539,384
13,West Godavari,Eluru,4,46,3934782,7742,490